,recID,oldRef,newRef,metaData
19662436,1397600,1391415,1391415,"{'reference': {'urls': [{'value': 'http://dx.doi.org/'}], 'misc': ['M triangle.py v0.1.1'], 'dois': ['10.5281/zenodo.11020'], 'publication_info': {'year': 2014}, 'authors': [{'full_name': 'K., Barbary'}, {'full_name': 'W., Hogg D.'}, {'full_name': 'J., Brewer B.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1391415'}, 'recid': 1391415}"
19662437,1397600,1391415,1391415,"{'reference': {'dois': ['10.5281/zenodo.11020']}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1391415'}, 'recid': 1391415}"
21588596,1355546,1326686,1326686,"{'reference': {'label': '44', 'dois': ['10.7484/INSPIREHEP.DATA.HLMR.T56W.2'], 'publication_info': {'year': 2014}, 'authors': [{'full_name': 'Dumont, B.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1326686'}, 'recid': 1326686}"
21588597,1355546,1347081,1347081,"{'reference': {'label': '45', 'dois': ['10.7484/INSPIREHEP.DATA.RT3V.9PJK'], 'publication_info': {'year': 2015}, 'authors': [{'full_name': 'Dumont, B.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1347081'}, 'recid': 1347081}"
22184385,1364477,0,1391422,"{'reference': {'misc': ['fitsjs: 0.6.6'], 'dois': ['10.5281/zenodo.16707'], 'publication_info': {'year': 2015}, 'authors': [{'full_name': 'Kapadia, A.'}]}}"
22417263,1386484,1391416,1391416,"{'reference': {'label': '166', 'misc': ['pypmc version 1.0, feb'], 'dois': ['10.5281/zenodo.20045'], 'publication_info': {'year': 2015}, 'authors': [{'full_name': 'Beaujean, F.'}, {'full_name': 'Jahn, S.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1391416'}, 'recid': 1391416}"
22448426,1244142,0,1253646,"{'reference': {'label': '62', 'urls': [{'value': 'http://doi.org/'}], 'collaborations': ['ATLAS Collaboration'], 'title': {'title': 'Data from Figure 7 from: Measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC: H → γγ'}, 'dois': ['10.7484/INSPIREHEP.DATA.A78C.HK44']}}"
22448427,1244142,0,1253647,"{'reference': {'label': '63', 'urls': [{'value': 'http://doi.org/'}], 'collaborations': ['ATLAS Collaboration'], 'title': {'title': 'Data from Figure 7 from: Measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC: H → ZZ∗ → 4'}, 'dois': ['10.7484/INSPIREHEP.DATA.RF5P.6M3K']}}"
22448428,1244142,0,1253648,"{'reference': {'label': '64', 'urls': [{'value': 'http://doi.org/'}], 'collaborations': ['ATLAS Collaboration'], 'title': {'title': 'Data from Figure 7 from: Measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC: H → WW∗ → ν ν'}, 'dois': ['10.7484/INSPIREHEP.DATA.26B4.TY5F']}}"
22608675,1395627,1305194,1305194,"{'reference': {'label': '98', 'misc': ['MadAnalysis 5 implementation of CMS-SUS-13-016'], 'dois': ['10.7484/INSPIREHEP.DATA.ZC3J.646F'], 'authors': [{'full_name': 'Sengupta, D.'}, {'full_name': 'Kulkarni, S.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1305194'}, 'recid': 1305194}"
