recID,Citation_Difference,Legacy_Count,Labs_Count
540682,-34.0,118,84
1286320,-34.0,533,499
165061,-34.0,2157,2123
774785,-34.0,44,10
582420,-34.0,53,19
809191,-33.0,39,6
344254,-33.0,96,63
167033,-33.0,34,1
586351,-33.0,152,119
172970,-33.0,60,27
627143,-33.0,49,16
125626,-33.0,82,49
464648,-33.0,34,1
128932,-33.0,99,66
669628,-33.0,544,511
209810,-33.0,41,8
366349,-33.0,83,50
49999,-33.0,1993,1960
143150,-33.0,1406,1373
318903,-32.0,84,52
256206,-32.0,41,9
216889,-32.0,35,3
633046,-32.0,39,7
286836,-32.0,41,9
338505,-32.0,119,87
653501,-31.0,36,5
821076,-31.0,33,2
773699,-31.0,601,570
487563,-31.0,34,3
1331417,-31.0,38,7
10596,-31.0,983,952
1614065,-31.0,32,1
889241,-31.0,98,67
709950,-31.0,37,6
683622,-31.0,68,37
1311241,-30.0,36,6
711542,-30.0,37,7
306189,-30.0,52,22
152748,-30.0,58,28
769000,-30.0,40,10
488048,-30.0,33,3
872886,-30.0,42,12
1305021,-30.0,150,120
47897,-30.0,353,323
822489,-29.0,34,5
428612,-29.0,30,1
863511,-29.0,170,141
358766,-29.0,50,21
1240417,-29.0,108,79
419603,-29.0,98,69
132188,-29.0,48,19
131402,-29.0,115,86
1609509,-29.0,73,44
1240093,-28.0,249,221
317565,-28.0,111,83
591979,-28.0,44,16
583657,-28.0,33,5
327212,-28.0,49,21
711552,-28.0,33,5
845492,-28.0,221,193
843280,-27.0,112,85
234835,-27.0,55,28
506141,-27.0,38,11
468605,-27.0,42,15
702469,-27.0,99,72
119583,-27.0,95,68
325497,-27.0,29,2
553300,-27.0,67,40
1112474,-27.0,28,1
831263,-27.0,31,4
173595,-27.0,43,16
1123253,-27.0,36,9
231759,-27.0,36,9
811852,-27.0,30,3
544994,-26.0,33,7
327355,-26.0,35,9
1648844,-26.0,169,143
133835,-26.0,28,2
147545,-26.0,30,4
319603,-26.0,95,69
118720,-26.0,449,423
595442,-26.0,30,4
898797,-26.0,34,8
527141,-26.0,28,2
731067,-26.0,37,11
813206,-26.0,31,5
626094,-26.0,38,12
1432092,-26.0,47,21
148371,-25.0,40,15
1464234,-25.0,27,2
690224,-25.0,45,20
203828,-25.0,74,49
860907,-25.0,1666,1641
12101,-25.0,383,358
457428,-25.0,70,45
723875,-25.0,5708,5683
725819,-25.0,40,15
41448,-24.0,37,13
486776,-24.0,43,19
717704,-24.0,61,37
145595,-24.0,31,7
112539,-24.0,57,33
112538,-24.0,84,60
868107,-24.0,25,1
466768,-24.0,106,82
164541,-24.0,844,820
164158,-24.0,40,16
1096028,-24.0,29,5
710394,-24.0,32,8
771038,-24.0,25,1
436708,-24.0,144,120
487244,-24.0,104,80
873163,-24.0,63,39
658548,-24.0,83,59
1196429,-24.0,49,25
709013,-24.0,34,10
709948,-24.0,28,4
169097,-23.0,808,785
210165,-23.0,30,7
733859,-23.0,38,15
622568,-23.0,27,4
213158,-23.0,49,26
395259,-23.0,89,66
205398,-23.0,25,2
809758,-23.0,27,4
713923,-23.0,29,6
101338,-23.0,6943,6920
1237271,-23.0,73,50
1223814,-22.0,28,6
875221,-22.0,41,19
85512,-22.0,51,29
1614057,-22.0,87,65
576127,-22.0,500,478
708893,-22.0,56,34
913954,-22.0,26,4
161902,-22.0,27,5
695703,-22.0,108,86
665428,-22.0,27,5
664556,-22.0,42,20
119084,-22.0,4226,4204
77547,-22.0,23,1
648696,-22.0,26,4
316934,-22.0,45,23
1649619,-22.0,28,6
740407,-22.0,23,1
649382,-22.0,95,73
51188,-22.0,11070,11048
349865,-22.0,219,197
744403,-21.0,30,9
220441,-21.0,40,19
537380,-21.0,37,16
831262,-21.0,23,2
631452,-21.0,141,120
176882,-21.0,449,428
128256,-21.0,1883,1862
1118685,-21.0,22,1
713909,-21.0,190,169
144466,-21.0,318,297
282757,-21.0,29,8
289786,-21.0,81,60
721099,-21.0,36,15
1369927,-21.0,24,3
491844,-21.0,34,13
667303,-21.0,64,43
684774,-21.0,27,6
1431829,-21.0,38,17
159043,-21.0,28,7
711547,-21.0,22,1
750553,-21.0,34,13
428369,-21.0,22,1
394359,-21.0,38,17
7617,-20.0,222,202
9686,-20.0,2636,2616
879776,-20.0,24,4
303715,-20.0,22,2
1647069,-20.0,21,1
140126,-20.0,91,71
577347,-20.0,25,5
132200,-20.0,85,65
279479,-20.0,21,1
393756,-20.0,128,108
1610908,-20.0,23,3
1648845,-20.0,265,245
1305020,-20.0,148,128
550916,-20.0,369,349
51319,-20.0,1780,1760
407205,-20.0,24,4
779641,-20.0,45,25
770588,-20.0,44,24
272066,-20.0,27,7
680653,-20.0,595,575
245570,-20.0,53,33
142919,-20.0,23,3
831261,-20.0,21,1
157263,-20.0,1169,1149
1496529,-20.0,31,11
54979,-20.0,853,833
1435426,-20.0,30,10
590669,-20.0,71,51
299780,-19.0,21,2
3801,-19.0,104,85
280417,-19.0,21,2
1649156,-19.0,20,1
697276,-19.0,22,3
901483,-19.0,30,11
11881,-19.0,400,381
477990,-19.0,25,6
758215,-19.0,688,669
800205,-19.0,34,15
1197199,-19.0,25,6
238200,-19.0,28,9
747722,-19.0,228,209
515194,-19.0,86,67
711939,-19.0,3440,3421
188692,-19.0,262,243
73922,-19.0,39,20
42736,-19.0,1156,1137
599335,-19.0,31,12
1351297,-19.0,947,928
825797,-19.0,176,157
390693,-19.0,20,1
832463,-19.0,42,23
1120885,-18.0,240,222
124298,-18.0,29,11
790037,-18.0,35,17
427381,-18.0,19,1
880643,-18.0,51,33
157549,-18.0,3508,3490
701585,-18.0,151,133
672209,-18.0,20,2
1241726,-18.0,287,269
153103,-18.0,27,9
666513,-18.0,32,14
469959,-18.0,19,1
378741,-18.0,22,4
558938,-18.0,315,297
15489,-18.0,42,24
820646,-18.0,20,2
113073,-18.0,41,23
142732,-18.0,1488,1470
191418,-18.0,52,34
119585,-18.0,6261,6243
732814,-18.0,19,1
3821,-18.0,3837,3819
154568,-18.0,23,5
45165,-18.0,217,199
514849,-18.0,19,1
857021,-18.0,76,58
767468,-17.0,40,23
1262234,-17.0,32,15
1435176,-17.0,44,27
577237,-17.0,158,141
304165,-17.0,24,7
1341010,-17.0,23,6
782893,-17.0,38,21
1445105,-17.0,24,7
1237807,-17.0,81,64
727031,-17.0,34,17
349781,-17.0,46,29
122138,-17.0,2939,2922
361327,-17.0,67,50
1630825,-17.0,181,164
848209,-17.0,61,44
669357,-17.0,168,151
147727,-17.0,1262,1245
126153,-17.0,3370,3353
95453,-17.0,483,466
244720,-17.0,45,28
711551,-17.0,24,7
510040,-17.0,22,5
379986,-17.0,39,22
605254,-17.0,18,1
284802,-17.0,44,27
879718,-17.0,104,87
484837,-17.0,10673,10656
252007,-17.0,455,438
505519,-16.0,20,4
781158,-16.0,30,14
154280,-16.0,6676,6660
1116597,-16.0,65,49
1227597,-16.0,38,22
748381,-16.0,17,1
681359,-16.0,46,30
1215312,-16.0,20,4
189048,-16.0,1817,1801
12462,-16.0,18,2
1421100,-16.0,2345,2329
169349,-16.0,20,4
12562,-16.0,1421,1405
169447,-16.0,64,48
320171,-16.0,40,24
173446,-16.0,80,64
1630824,-16.0,427,411
35542,-16.0,19,3
326206,-16.0,17,1
851340,-16.0,140,124
302554,-16.0,17,1
11878,-16.0,3060,3044
1084345,-16.0,37,21
1283666,-16.0,17,1
1519242,-16.0,31,15
17956,-16.0,21,5
199868,-16.0,49,33
16852,-16.0,31,15
1432344,-16.0,47,31
275654,-16.0,247,231
764607,-16.0,17,1
1265634,-16.0,20,4
1084184,-16.0,17,1
154871,-16.0,1071,1055
470671,-16.0,10484,10468
724464,-16.0,19,3
1614069,-16.0,636,620
839696,-16.0,19,3
69661,-15.0,420,405
77933,-15.0,70,55
1461939,-15.0,25,10
667441,-15.0,16,1
282000,-15.0,174,159
570753,-15.0,22,7
443707,-15.0,167,152
185062,-15.0,17,2
1479037,-15.0,28,13
1209236,-15.0,45,30
80985,-15.0,3871,3856
1217905,-15.0,20,5
3438,-15.0,3400,3385
755545,-15.0,18,3
41342,-15.0,712,697
402428,-15.0,27,12
666332,-15.0,24,9
8382,-15.0,137,122
831672,-15.0,78,63
136294,-15.0,29,14
1228241,-15.0,308,293
913962,-15.0,22,7
711556,-15.0,18,3
760679,-15.0,16,1
1223291,-15.0,198,183
190338,-15.0,2045,2030
325496,-15.0,18,3
850954,-15.0,63,48
583855,-15.0,46,31
140128,-15.0,1761,1746
1120481,-15.0,34,19
732065,-15.0,26,11
179461,-15.0,1398,1383
728134,-15.0,17,2
179546,-15.0,30,15
12964,-15.0,30,15
526546,-15.0,18,3
867822,-14.0,151,137
9394,-14.0,401,387
288141,-14.0,20,6
757402,-14.0,15,1
6779,-14.0,16,2
9386,-14.0,618,604
891118,-14.0,15,1
817352,-14.0,19,5
459320,-14.0,253,239
742982,-14.0,261,247
790880,-14.0,102,88
606939,-14.0,16,2
919762,-14.0,55,41
1433726,-14.0,25,11
42614,-14.0,139,125
567222,-14.0,205,191
1080194,-14.0,35,21
745156,-14.0,16,2
650295,-14.0,17,3
2884,-14.0,1679,1665
732019,-14.0,47,33
623557,-14.0,99,85
555746,-14.0,268,254
700354,-14.0,20,6
843543,-14.0,6148,6134
5997,-14.0,2829,2815
81350,-14.0,9389,9375
203363,-14.0,100,86
734906,-14.0,15,1
1343460,-14.0,1495,1481
47911,-14.0,15,1
1630826,-14.0,179,165
634579,-14.0,83,69
285123,-14.0,15,1
20566,-13.0,14,1
1434205,-13.0,178,165
303063,-13.0,2571,2558
96843,-13.0,15,2
293193,-13.0,19,6
888839,-13.0,23,10
866202,-13.0,48,35
1226758,-13.0,35,22
785992,-13.0,15,2
711555,-13.0,15,2
176492,-13.0,273,260
1468739,-13.0,16,3
408530,-13.0,30,17
43103,-13.0,1133,1120
874405,-13.0,52,39
551861,-13.0,82,69
1614095,-13.0,49,36
619174,-13.0,15,2
31944,-13.0,79,66
259339,-13.0,1458,1445
11880,-13.0,2671,2658
842891,-13.0,81,68
131435,-13.0,983,970
1614097,-13.0,187,174
638189,-13.0,17,4
504101,-13.0,32,19
43933,-13.0,14,1
179499,-13.0,1485,1472
895566,-13.0,16,3
2461,-13.0,14,1
176612,-13.0,3654,3641
207105,-13.0,14,1
709425,-13.0,474,461
823231,-13.0,94,81
