,Citation_Difference
583657,-26.0
306189,-26.0
352088,-26.0
544994,-26.0
345990,-25.0
118720,-25.0
148371,-25.0
512736,-25.0
1648844,-25.0
1432092,-25.0
769000,-25.0
571259,-25.0
282222,-25.0
197269,-25.0
391815,-25.0
238496,-25.0
627119,-25.0
488048,-25.0
487563,-25.0
843280,-25.0
290343,-24.0
551492,-24.0
145595,-24.0
41448,-24.0
486776,-24.0
710394,-24.0
436708,-24.0
771038,-24.0
717704,-24.0
131621,-24.0
709948,-24.0
1215307,-24.0
868107,-24.0
238378,-23.0
241569,-23.0
213158,-23.0
1196429,-23.0
733859,-23.0
457428,-23.0
690224,-23.0
606361,-23.0
711079,-23.0
466768,-23.0
621573,-23.0
898797,-23.0
713923,-23.0
378624,-23.0
327355,-22.0
148282,-22.0
695703,-22.0
709013,-22.0
513847,-22.0
699503,-22.0
286835,-22.0
728108,-22.0
809758,-22.0
622568,-22.0
77547,-22.0
1096028,-22.0
1609509,-22.0
708239,-22.0
301366,-22.0
1223814,-22.0
670461,-22.0
669628,-22.0
649382,-21.0
331893,-21.0
319603,-21.0
631452,-21.0
702469,-21.0
831263,-21.0
150867,-21.0
667303,-21.0
1431829,-21.0
289786,-21.0
1369927,-21.0
664556,-21.0
1118685,-21.0
713905,-21.0
394359,-21.0
1496529,-21.0
231759,-21.0
721099,-21.0
809342,-21.0
349865,-21.0
711547,-21.0
684774,-21.0
112539,-21.0
294204,-21.0
1649619,-21.0
175294,-20.0
1610908,-20.0
740407,-20.0
1305021,-20.0
713909,-20.0
1435426,-20.0
577347,-20.0
551519,-20.0
303715,-20.0
325844,-20.0
1647069,-20.0
831262,-20.0
665428,-20.0
550916,-20.0
433502,-20.0
689457,-20.0
393756,-20.0
779641,-20.0
595442,-20.0
407731,-19.0
188692,-19.0
431049,-19.0
491844,-19.0
537380,-19.0
34089,-19.0
913954,-19.0
697276,-19.0
578758,-19.0
751423,-19.0
321179,-19.0
800205,-19.0
73922,-19.0
747722,-19.0
390693,-19.0
128256,-19.0
665414,-19.0
391836,-19.0
867878,-19.0
269097,-19.0
459352,-19.0
1649156,-19.0
758215,-19.0
507299,-19.0
487244,-19.0
430995,-19.0
250005,-19.0
599335,-18.0
502499,-18.0
378741,-18.0
670465,-18.0
660577,-18.0
290315,-18.0
428369,-18.0
832463,-18.0
635284,-18.0
153103,-18.0
431611,-18.0
113073,-18.0
174477,-18.0
666513,-18.0
154568,-18.0
352100,-18.0
3801,-18.0
272066,-18.0
137776,-18.0
820646,-18.0
831265,-18.0
634577,-18.0
184231,-18.0
460269,-18.0
761213,-18.0
790037,-18.0
266356,-18.0
576127,-18.0
857021,-18.0
702467,-18.0
750553,-18.0
477990,-18.0
238616,-17.0
1341010,-17.0
244720,-17.0
249116,-17.0
366349,-17.0
270801,-17.0
7617,-17.0
95453,-17.0
165061,-17.0
825797,-17.0
516124,-17.0
1445105,-17.0
1197199,-17.0
513849,-17.0
605254,-17.0
711551,-17.0
117200,-17.0
416142,-17.0
256561,-17.0
727031,-17.0
460248,-17.0
619667,-17.0
590669,-17.0
1435176,-17.0
1116597,-16.0
610446,-16.0
1227597,-16.0
304165,-16.0
1194672,-16.0
1519242,-16.0
505519,-16.0
1196857,-16.0
345870,-16.0
455294,-16.0
326206,-16.0
172970,-16.0
361327,-16.0
55216,-16.0
851340,-16.0
17956,-16.0
1432344,-16.0
551491,-16.0
853834,-16.0
650107,-16.0
406839,-16.0
376248,-16.0
338505,-16.0
572018,-16.0
169447,-16.0
1630825,-16.0
391833,-16.0
1237028,-16.0
282757,-16.0
113517,-16.0
724464,-16.0
690985,-16.0
1237807,-16.0
1262234,-16.0
169349,-16.0
116453,-16.0
384304,-16.0
275654,-16.0
748381,-16.0
725789,-16.0
761219,-15.0
383628,-15.0
732065,-15.0
1120481,-15.0
335735,-15.0
681359,-15.0
77933,-15.0
136294,-15.0
1223291,-15.0
773699,-15.0
873568,-15.0
395259,-15.0
526546,-15.0
358766,-15.0
755545,-15.0
880643,-15.0
744405,-15.0
784326,-15.0
901483,-15.0
569298,-15.0
711556,-15.0
205398,-15.0
69661,-15.0
487559,-15.0
831672,-15.0
1084345,-15.0
160189,-15.0
35542,-15.0
179546,-15.0
558938,-15.0
40440,-15.0
12964,-15.0
725819,-15.0
326990,-15.0
1209236,-15.0
124298,-15.0
431150,-14.0
529613,-14.0
684058,-14.0
276441,-14.0
726965,-14.0
672209,-14.0
767840,-14.0
427379,-14.0
1242340,-14.0
405910,-14.0
144466,-14.0
299780,-14.0
404355,-14.0
1479037,-14.0
918199,-14.0
282000,-14.0
541588,-14.0
1433726,-14.0
867822,-14.0
1080194,-14.0
163207,-14.0
522413,-14.0
764607,-14.0
891118,-14.0
732019,-14.0
511325,-14.0
504892,-14.0
405909,-14.0
817352,-14.0
745156,-14.0
669357,-14.0
302549,-14.0
728134,-14.0
302554,-14.0
349781,-14.0
284802,-14.0
493311,-13.0
203363,-13.0
44683,-13.0
713922,-13.0
809361,-13.0
704318,-13.0
306061,-13.0
874405,-13.0
31944,-13.0
1434205,-13.0
185468,-13.0
325496,-13.0
150676,-13.0
443707,-13.0
1226758,-13.0
567256,-13.0
190938,-13.0
302555,-13.0
591582,-13.0
322553,-13.0
597050,-13.0
650295,-13.0
145127,-13.0
831261,-13.0
502846,-13.0
463254,-13.0
711555,-13.0
320602,-13.0
831525,-13.0
486565,-13.0
96843,-13.0
2461,-13.0
551517,-13.0
1468739,-13.0
267476,-13.0
20566,-13.0
402428,-13.0
103893,-13.0
126292,-13.0
1123670,-13.0
866202,-13.0
606939,-13.0
895566,-13.0
216893,-13.0
6413,-13.0
619174,-13.0
776347,-13.0
8382,-13.0
1648845,-13.0
623557,-13.0
668431,-13.0
700354,-13.0
741177,-13.0
