,Citation_Difference
778008,27.0
700426,27.0
468222,27.0
231215,27.0
18768,27.0
1229752,27.0
1086529,27.0
778378,27.0
1380182,27.0
740008,27.0
2034,26.0
499284,26.0
559549,26.0
16852,26.0
333456,26.0
825875,26.0
592753,26.0
662155,26.0
624497,26.0
13605,26.0
1272842,26.0
153814,26.0
689061,26.0
300858,26.0
254332,26.0
322453,26.0
534486,26.0
446093,26.0
210165,26.0
697296,26.0
226847,26.0
10097,26.0
1188769,26.0
11932,26.0
48408,26.0
1241571,26.0
262333,26.0
421168,26.0
380858,26.0
871246,26.0
725573,26.0
4328,26.0
194173,26.0
724238,26.0
215300,26.0
553318,26.0
916908,26.0
554827,26.0
363601,26.0
262920,25.0
1279756,25.0
363876,25.0
431039,25.0
366170,25.0
685228,25.0
651938,25.0
11883,25.0
398195,25.0
1117203,25.0
294658,25.0
858393,25.0
845323,25.0
553965,25.0
555771,25.0
718623,25.0
712597,25.0
689697,25.0
202717,25.0
12291,25.0
1649628,25.0
1323407,25.0
153328,25.0
1210629,25.0
501062,25.0
1609508,25.0
419090,25.0
915810,25.0
465806,25.0
860789,25.0
925284,25.0
883745,25.0
781897,25.0
828430,25.0
53131,25.0
380856,25.0
1219960,24.0
648737,24.0
180803,24.0
1591665,24.0
9140,24.0
843998,24.0
68889,24.0
1197996,24.0
92122,24.0
929440,24.0
798825,24.0
30897,24.0
36868,24.0
746087,24.0
262685,24.0
403916,24.0
318544,24.0
20564,24.0
168738,24.0
1087459,24.0
418518,24.0
648609,24.0
619171,24.0
234934,24.0
554511,24.0
345104,24.0
218690,24.0
605352,24.0
529171,24.0
511911,24.0
479778,24.0
442402,24.0
892742,24.0
1650031,24.0
8699,24.0
375797,24.0
334961,24.0
1118175,23.0
80973,23.0
91498,23.0
563511,23.0
24144,23.0
501489,23.0
598508,23.0
188897,23.0
202565,23.0
500008,23.0
701585,23.0
373167,23.0
354338,23.0
870473,23.0
674643,23.0
613862,23.0
925604,23.0
441680,23.0
645240,23.0
896250,23.0
717504,23.0
83749,23.0
166352,23.0
318716,23.0
352868,23.0
120213,23.0
667305,23.0
335694,23.0
443925,23.0
481861,23.0
662094,23.0
13420,23.0
315512,23.0
766874,23.0
659749,23.0
3567,23.0
723875,23.0
390676,23.0
175664,23.0
925212,23.0
883198,23.0
326391,22.0
694345,22.0
93911,22.0
8773,22.0
213223,22.0
649932,22.0
1298029,22.0
