,recID,oldRef,newRef,metaData
269771,627863,627863,627863,"{'record': {'$ref': 'http://localhost:5000/api/literature/627863'}, 'reference': {'arxiv_eprint': 'hep-th/0309100', 'publication_info': {'page_start': '389', 'journal_title': 'Eur.Phys.J.C', 'journal_volume': '39', 'artid': '389'}}, 'recid': 627863, 'curated_relation': False}"
284498,678111,678111,678111,"{'record': {'$ref': 'http://localhost:5000/api/literature/678111'}, 'reference': {'arxiv_eprint': 'astro-ph/0503230', 'publication_info': {'page_start': '010', 'journal_title': 'JCAP', 'year': '2005', 'journal_volume': '11', 'artid': '010'}}, 'recid': 678111, 'curated_relation': False}"
346671,356666,356666,356666,"{'record': {'$ref': 'http://localhost:5000/api/literature/356666'}, 'reference': {'arxiv_eprint': 'hep-th/9307086', 'publication_info': {'page_start': '494', 'journal_title': 'Nucl.Phys.B', 'journal_volume': '418', 'artid': '494'}}, 'recid': 356666, 'curated_relation': False}"
377659,661875,661875,661875,"{'record': {'$ref': 'http://localhost:5000/api/literature/661875'}, 'reference': {'publication_info': {'page_start': '158', 'journal_title': 'Nucl.Instrum.Meth.A', 'journal_volume': '525', 'artid': '158'}}, 'recid': 661875, 'curated_relation': False}"
394863,666634,666634,666634,"{'record': {'$ref': 'http://localhost:5000/api/literature/666634'}, 'reference': {'misc': ['Read More:'], 'dois': ['10.1142/S0217732304015439'], 'urls': [{'value': 'http://www.worldscientific.com/doi/ref/'}]}, 'recid': 666634, 'curated_relation': False}"
396534,668776,668776,668776,"{'record': {'$ref': 'http://localhost:5000/api/literature/668776'}, 'reference': {'publication_info': {'year': 1992}, 'misc': ['Quantum Field Theory, Statistical Mechanics, Quantum Groups and Topology T Curtright, L Mezincescu and R I Nepomechie (eds.) (Singapore: 59'], 'imprint': {'publisher': 'World Scientific'}, 'authors': [{'full_name': 'L, Mezincescu'}, {'full_name': 'I, Nepomechie R.'}], 'label': '6', 'dois': ['10.1088/1742-5468/2006/09/P09013']}, 'recid': 668776, 'curated_relation': False}"
396589,668776,668776,668776,"{'record': {'$ref': 'http://localhost:5000/api/literature/668776'}, 'reference': {'misc': ['60'], 'label': '60', 'dois': ['10.1088/1742-5468/2006/09/P09013']}, 'recid': 668776, 'curated_relation': False}"
396614,668776,668776,668776,"{'record': {'$ref': 'http://localhost:5000/api/literature/668776'}, 'reference': {'label': '84', 'dois': ['10.1088/1742-5468/2006/09/P09013']}, 'recid': 668776, 'curated_relation': False}"
401077,686893,686893,686893,"{'record': {'$ref': 'http://localhost:5000/api/literature/686893'}, 'reference': {'arxiv_eprint': 'hep-ex/0507031', 'publication_info': {'journal_title': 'Phys.Rev.Lett.', 'journal_volume': '98', 'artid': '211804'}}, 'recid': 686893, 'curated_relation': False}"
401276,686916,686916,686916,"{'record': {'$ref': 'http://localhost:5000/api/literature/686916'}, 'reference': {'arxiv_eprint': 'hep-th/0507065', 'publication_info': {'page_start': '001', 'journal_title': 'JHEP', 'year': '2005', 'journal_volume': '09', 'artid': '001'}}, 'recid': 686916, 'curated_relation': False}"
406275,684299,684299,684299,"{'record': {'$ref': 'http://localhost:5000/api/literature/684299'}, 'reference': {'arxiv_eprint': 'astro-ph/0506144', 'publication_info': {'page_start': '587', 'journal_title': 'Astron.Astrophys.', 'journal_volume': '410', 'artid': '587'}}, 'recid': 684299, 'curated_relation': False}"
416824,197136,197136,197136,"{'record': {'$ref': 'http://localhost:5000/api/literature/197136'}, 'reference': {'publication_info': {'page_start': '13', 'journal_title': 'Acta Phys.Polon.B', 'journal_volume': '14', 'artid': '13'}}, 'recid': 197136, 'curated_relation': False}"
422176,246214,246214,246214,"{'record': {'$ref': 'http://localhost:5000/api/literature/246214'}, 'reference': {'publication_info': {'page_start': '3598', 'journal_title': 'Phys.Rev.D', 'journal_volume': '35', 'artid': '3598'}}, 'recid': 246214, 'curated_relation': False}"
445595,271835,271835,271835,"{'record': {'$ref': 'http://localhost:5000/api/literature/271835'}, 'reference': {'publication_info': {'page_start': '327', 'journal_title': 'JETP Lett.', 'journal_volume': '48', 'artid': '327'}}, 'recid': 271835, 'curated_relation': False}"
448671,320010,320010,320010,"{'record': {'$ref': 'http://localhost:5000/api/literature/320010'}, 'reference': {'publication_info': {'year': 1991}, 'misc': ['S tanford Accelerator Center (extended version), S tanford Linear Accelerator tanford, CA, USA'], 'authors': [{'full_name': 'Center, S.'}], 'report_numbers': ['SLAC-PUB-5686']}, 'recid': 320010, 'curated_relation': False}"
501165,681232,681232,681232,"{'record': {'$ref': 'http://localhost:5000/api/literature/681232'}, 'reference': {'publication_info': {'page_start': '230', 'journal_title': 'Nucl.Instrum.Meth.B', 'journal_volume': '201', 'artid': '230'}}, 'recid': 681232, 'curated_relation': False}"
509622,645515,645515,645515,"{'record': {'$ref': 'http://localhost:5000/api/literature/645515'}, 'reference': {'arxiv_eprint': 'hep-ph/0403020', 'publication_info': {'journal_title': 'Phys.Rev.D', 'journal_volume': '72', 'artid': '034505'}}, 'recid': 645515, 'curated_relation': False}"
573099,339877,339877,339877,"{'record': {'$ref': 'http://localhost:5000/api/literature/339877'}, 'reference': {'publication_info': {'page_start': '18', 'journal_title': 'Phys.Lett.B', 'journal_volume': '288', 'artid': '18'}}, 'recid': 339877, 'curated_relation': False}"
613851,655714,655714,655714,"{'record': {'$ref': 'http://localhost:5000/api/literature/655714'}, 'reference': {'arxiv_eprint': 'hep-ph/0408047'}, 'recid': 655714, 'curated_relation': False}"
629369,713710,713710,713710,"{'record': {'$ref': 'http://localhost:5000/api/literature/713710'}, 'reference': {'arxiv_eprint': 'hep-th/0604007', 'publication_info': {'page_start': '074', 'journal_title': 'JHEP', 'year': '2006', 'journal_volume': '08', 'artid': '074'}}, 'recid': 713710, 'curated_relation': False}"
